timestamp,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,gyroscope_x,gyroscope_y,gyroscope_z
1710733424105,-1.6280571,-24.17665,-2.468422,-9.719999,31.92,-18.24,-1.7907095,0.59601545,-1.9259981
1710733424209,4.6662993,-8.899248,-1.0965444,-14.46,34.14,-7.3199997,-2.4165523,-7.9474053,2.251969
1710733424316,9.591172,-3.9791632,2.7700913,-6.3599997,34.02,12.48,-3.4301515,-6.7777452,0.3392867
1710733424422,3.7588966,-8.367735,42.882545,19.56,23.82,20.58,2.2775354,-12.049739,6.7665596
1710733424527,-12.176909,-7.5944076,5.791574,30.779999,16.68,17.699999,-0.46924898,-0.053795855,-1.6682042
1710733424633,-13.575124,1.1109096,22.67788,12.54,25.14,25.56,2.9928606,10.391122,-0.24554345
1710733424739,-3.5290532,-8.750807,8.377312,-11.099999,34.2,11.639999,4.5401573,2.8655615,2.7308054
1710733424843,43.564896,2.5617957,-8.78672,0.06,36.48,-9.84,2.5497105,2.6338663,-2.9619677
1710733424949,-9.744401,-11.106702,3.1531637,-0.42,34.559998,-14.5199995,0.6791061,0.72970617,-2.6541064
1710733425055,-11.628637,-4.3957543,6.0022635,-15.0,32.399998,-15.179999,-1.1030813,11.224691,-5.442969
1710733425160,1.9297266,-5.559336,-0.107739076,3.12,29.34,-24.96,-0.32756883,8.123707,1.3907027
1710733425265,-9.464279,1.4101849,7.062895,19.74,27.72,-19.14,0.3818973,1.081776,3.216566
1710733425370,7.3430166,7.726089,13.053187,25.74,22.56,-18.539999,-0.65513766,1.7773937,0.984837
1710733425477,-8.202535,-11.647791,8.463503,24.6,27.24,-11.94,-1.4567492,-4.434163,0.101200126
1710733425583,7.007828,2.6479871,-6.409278,8.94,27.66,-26.039999,-2.3686156,-10.330935,-0.76485986
1710733425690,-70.80133,-27.04251,78.44841,-16.859999,33.0,-9.9,4.227502,-10.051835,4.128965
1710733425792,-7.8505874,-11.015722,7.824251,-9.719999,33.12,-16.92,0.60293967,-1.5339808,-0.25086978
1710733425896,12.277467,-14.20001,-3.289633,-15.12,33.3,-11.7,-2.0511668,-2.5166874,-1.2463595
1710733425999,6.4547677,-5.535394,-5.583278,-5.7599998,34.86,8.5199995,-3.107909,-10.707505,4.2690473
1710733426105,14.216769,-3.632004,-0.7374141,14.7,28.26,20.279999,-3.669836,-5.410478,1.045557
1710733426211,-11.353305,-19.524715,-14.15452,32.94,16.619999,11.28,0.23062976,0.9582054,2.582201
1710733426318,-10.42196,-19.354727,10.9582615,28.92,17.46,18.359999,-0.9502159,2.8597023,-4.788364
1710733426418,10.093954,-8.24563,10.69011,5.3399997,28.26,26.4,3.5036547,8.863533,-0.7350325
1710733426527,10.070012,-7.917625,-1.0151415,2.6399999,36.0,7.62,4.279167,3.1798143,2.7968519
